scenario,scenario_label,signal,index,time,data
default,default parameter values,x1,0,0.0,2.0
default,default parameter values,x1,1,2.523829377920773e-05,1.9999999993630446
default,default parameter values,x1,2,0.00015142976267524638,1.999999977072499
default,default parameter values,x1,3,0.0007823871071554395,1.999999388349087
default,default parameter values,x1,4,0.003937173829556406,1.9999845595334582
default,default parameter values,x1,5,0.019711107441561234,1.9996190298114713
default,default parameter values,x1,6,0.06001804348673466,1.996605370765937
default,default parameter values,x1,7,0.10963249543673825,1.9892023936026086
default,default parameter values,x1,8,0.1655931262992249,1.976624025476833
default,default parameter values,x1,9,0.22709525245242995,1.958409194216386
default,default parameter values,x1,10,0.2941936368246529,1.9341252172862085
default,default parameter values,x1,11,0.36744812812928723,1.9032040455588095
default,default parameter values,x1,12,0.44785576964467433,1.8647995216906395
default,default parameter values,x1,13,0.5369347215232937,1.8175965999624761
default,default parameter values,x1,14,0.6369802534446132,1.7594768672563221
default,default parameter values,x1,15,0.7516723589200315,1.6868097135222242
default,default parameter values,x1,16,0.887736819284571,1.5925801323678572
default,default parameter values,x1,17,1.0,1.5081442106656047
default,default parameter values,x1,18,1.3194004887630766,1.2298261923615375
default,default parameter values,x1,19,1.58678955037287,0.9396243577059012
default,default parameter values,x1,20,1.7573006946233027,0.715719751850306
default,default parameter values,x1,21,1.9278118388737355,0.45065298302698426
default,default parameter values,x1,22,2.0,0.3233163628094784
default,default parameter values,x1,23,2.1528238833644875,0.019181492739479777
default,default parameter values,x1,24,2.299072251479771,-0.3184662375231633
default,default parameter values,x1,25,2.4292292691539226,-0.6521605233968584
default,default parameter values,x1,26,2.5505193571212317,-0.9758306543209694
default,default parameter values,x1,27,2.6487779705811256,-1.2299443465397872
default,default parameter values,x1,28,2.7347484363441117,-1.433093680787922
default,default parameter values,x1,29,2.8224707492881946,-1.6119230899929335
default,default parameter values,x1,30,2.9308691185606843,-1.7846817344160428
default,default parameter values,x1,31,3.0,-1.8660742642563402
default,default parameter values,x1,32,3.0884878669247113,-1.9399719000900717
default,default parameter values,x1,33,3.185967644074568,-1.9875756452856645
default,default parameter values,x1,34,3.2781141740081994,-2.0064993984464903
default,default parameter values,x1,35,3.3702607039418306,-2.005973470428064
default,default parameter values,x1,36,3.4607954910405603,-1.991081708606451
default,default parameter values,x1,37,3.5539674918363766,-1.9644871579750287
default,default parameter values,x1,38,3.652802805774346,-1.9267362870916473
default,default parameter values,x1,39,3.7600421879800527,-1.877164663339779
default,default parameter values,x1,40,3.878972335408533,-1.813826721451629
default,default parameter values,x1,41,4.0,-1.7417676861864453
default,default parameter values,x1,42,4.158729017596854,-1.6367634319004765
default,default parameter values,x1,43,4.354509593300414,-1.4909088578000418
default,default parameter values,x1,44,4.628330680011835,-1.2521699301816411
default,default parameter values,x1,45,4.889154054133819,-0.9748330430181958
default,default parameter values,x1,46,5.0,-0.8370759636355181
default,default parameter values,x1,47,5.2099455563165895,-0.53240241570565
default,default parameter values,x1,48,5.388460792254897,-0.21565925636389716
default,default parameter values,x1,49,5.549006945824036,0.1247286097878908
default,default parameter values,x1,50,5.685654647297693,0.45685728777706547
default,default parameter values,x1,51,5.819954383972289,0.8104437080369764
default,default parameter values,x1,52,5.931188364581056,1.105484797777494
default,default parameter values,x1,53,6.0,1.2790455831128917
default,default parameter values,x1,54,6.085656970097519,1.4759241006670267
default,default parameter values,x1,55,6.175522875231746,1.6511737302335212
default,default parameter values,x1,56,6.259556445877628,1.7813626943873717
default,default parameter values,x1,57,6.34359001652351,1.87851337742619
default,default parameter values,x1,58,6.431035249644939,1.9473833971842325
default,default parameter values,x1,59,6.532519086227082,1.9925326472198128
default,default parameter values,x1,60,6.64633453939299,2.008585052231206
default,default parameter values,x1,61,6.73799650381081,2.001726880484092
default,default parameter values,x1,62,6.829247730469101,1.981929050952604
default,default parameter values,x1,63,6.924518457904949,1.9507819783309075
default,default parameter values,x1,64,7.0,1.9201517968099069
default,default parameter values,x1,65,7.111523540337659,1.867239847850153
default,default parameter values,x1,66,7.232844420452723,1.801193111674566
default,default parameter values,x1,67,7.3719185967669265,1.7162702196570463
default,default parameter values,x1,68,7.537253312234822,1.6035463458943013
default,default parameter values,x1,69,7.747554440689242,1.4412003473661588
default,default parameter values,x1,70,8.0,1.2132306316502766
default,default parameter values,x1,71,8.248223064235008,0.9420234416191045
default,default parameter values,x1,72,8.471191712868011,0.6417966608446379
default,default parameter values,x1,73,8.66247046427606,0.32458555033779357
default,default parameter values,x1,74,8.826771048798483,-0.004304394212467366
default,default parameter values,x1,75,8.972134166983135,-0.3431822016296139
default,default parameter values,x1,76,9.0,-0.4129212351099924
default,default parameter values,x1,77,9.112782550842661,-0.7067363366146173
default,default parameter values,x1,78,9.225723601539439,-1.0082582144122663
default,default parameter values,x1,79,9.320941986378383,-1.2528254810044612
default,default parameter values,x1,80,9.406620007361411,-1.4528432495437533
default,default parameter values,x1,81,9.495264763455811,-1.630064902329587
default,default parameter values,x1,82,9.58161852156362,-1.7682318057088284
default,default parameter values,x1,83,9.667972279671428,-1.8713892380555626
default,default parameter values,x1,84,9.754800361552158,-1.9424214004473686
default,default parameter values,x1,85,9.853904066676447,-1.9894503312867873
default,default parameter values,x1,86,9.945959965470134,-2.0071738964791574
default,default parameter values,x1,87,10.0,-2.0083409608735248
default,default parameter values,x1,88,10.09170376573654,-1.9979976258604162
default,default parameter values,x1,89,10.183615774562849,-1.9753709551080558
default,default parameter values,x1,90,10.28028975496848,-1.9415081018756102
default,default parameter values,x1,91,10.384392927899745,-1.896161292147091
default,default parameter values,x1,92,10.498960837891193,-1.837868243291732
default,default parameter values,x1,93,10.628061548469656,-1.763527321849989
default,default parameter values,x1,94,10.778113413149912,-1.6670066208418892
default,default parameter values,x1,95,10.9617769970593,-1.5345852448381596
default,default parameter values,x1,96,11.0,-1.5049721433251906
default,default parameter values,x1,97,11.191115014703502,-1.345110825475066
default,default parameter values,x1,98,11.464432392781417,-1.075042156237823
